id,name,structure,city,postal,web,priority,logo_url
ri,Le Comptoir des rues,Association,Ploërmel,56800,https://www.facebook.com/comptoirdesrues/,2,
10B,le cyclOpe,Société,Quimper,29000,https://www.linkedin.com/in/ronan-cornec-le-cyclope-92807885/,2,
sC,Les Matériaux d'Autrefois,Société,Neufchâteau,88300,https://www.facebook.com/Les-Mat%C3%A9riaux-dAutrefois-156008884506056/,2,
z7,Low Carbon Design (LCD),Société,Herstal,4040,https://www.linkedin.com/company/low-carbon-design/about/,2,
yY,Low-Tech Touraine,Association,Tours,37032,https://www.facebook.com/Lowtech.Touraine,2,
sQ,Maison Système,Association,Bordeaux,33100,https://www.facebook.com/Maison-syst%C3%A8me-447648062425155/?ref=page_internal,2,
zg,Nour Eddé,Société,Romainville,93230,https://www.linkedin.com/in/nour-edd%C3%A9-a9118a51/,2,
tK,O'Baines - Matériaux-thèque - Steredenn,Association,Quévert,22100,https://www.facebook.com/Materiauxtheque,2,
12k,OPREC Matériaux,Société,Fleury-les-Aubrais,45400,https://www.linkedin.com/in/william-taillot-0b045a294/,2,
tl,PERMAC,Association,Le Havre,76600,https://www.facebook.com/permacnormandie/,2,
zr,PREMYS,SASU,Magny-les-Hameaux,78114,https://www.linkedin.com/company/premys/,2,
uU,Remake,Société,Saint-Denis,93200,https://www.linkedin.com/company/remake-r%C3%A9emploi/about/,2,
yi,Scaraboom,Société,Montpellier,,https://www.facebook.com/Scaraboom/,2,
12P,Servibat et Servitravaux,Société,Véretz,37270,https://www.linkedin.com/company/servibat-svbt/,2,
12h,Stettler Architecture,Société,Vitry-sur-Seine,94400,https://www.instagram.com/stettler_architecture/,2,
wh,Vacance Collective,Association,Strasbourg,67200,https://www.facebook.com/vacancecollective/,2,
14N,Actierra,,Rueil-Malmaison,92500,,3,
13Y,amarée,,Le Havre,76620,,3,
14R,AMO Réemploi,,Joyeuse,07260,,3,
zQ,Articule,Société,Concarneau,29900,,3,
162,Association Seconde Vie,Plateforme de reemploi PEMB (enquete CERC-NA),Chalais,16210,,3,
13q,BO MATERIAUX,,Mon-Idée,08260,,3,
xd,CALMM Architecture,,Paris,75011,,3,
wj,CDL Expertises,,Saint-Jean-d'Illac,33127,,3,
15y,Cite du Reemploi (Triservices),"Association Triservices (2014, ACI)",Sausheim,68390,,3,
14T,DAMIEN LAGRANGE ARCHITECTE,,Lyon,69003,,3,
13s,Dinamic,,Châtenay-Malabry,92290,,3,
129,DIOTAL,Société,Nantes,44100,,3,
160,ECCU'M Materiautheque Lorraine,Association ECCU'M,Metz,57050,,3,
15x,Emma'Tek (Emmaus 43),Association (Emmaus 43),Sanssac-l'Eglise,43320,,3,
14H,Envirobat Grand Est - ARCAD LQE,,Nancy,54100,,3,
qE,Eric Pilatte,Société,Dives-sur-Mer,14160,,3,
14F,G-STONES réemploi de pierres naturelles (anciennement GREEN STONES),,Bazouges-la-Pérouse,35560,,3,
171,Henot TP,Acteur Envirobat Centre-Val de Loire,Truyes,37320,,3,
141,IDRE-Interprofessionnelle de la Déconstruction et du Ré-Emploi,,Lyon,69008,,3,
z3,Jaunin SA,Société,Cartigny,1236,,3,
r3,Katapulte,Association,Nantes,44100,,3,
yv,L'ATELIER Carole SENEGAS,Société,Lorient,56100,,3,
15v,La Bat Mat,Association (co-fondee par Reanimes + Ressourcerie du Pont),Nimes,30000,,3,
16g,La Manufaktura,Plateforme de reemploi PEMB (enquete CERC-NA),Bidache,64520,,3,
14G,Les Ateliers du Singe,,Irissarry,64780,,3,
16m,Locus Tiers Lieu 86 - Laiterie d'Archigny,Plateforme de reemploi PEMB (enquete CERC-NA),Archigny,86210,,3,
16o,Mathusalem cafe brocante associatif,Plateforme de reemploi PEMB (enquete CERC-NA),Saint-Leonard-de-Noblat,87400,,3,
13o,Matériauthèque Siléo,,Montrevault-sur-Èvre,49110,,3,
13u,Negomat Acteur du reemploi materiels industriels et tertiare electrique,,Limoges,87100,,3,
13x,OZZA,,Angers,49100,,3,
144,PREMYS Agence Perrier,,Saint-Priest,69800,,3,
147,PREMYS Grand Ouest,,Guérande,44350,,3,
145,PREMYS Sud Ouest,,Saint-André-de-Cubzac,33240,,3,
146,PREMYS Sud Ouest,,Toulouse,31200,,3,
13c,ReBois par Gueules de Bois,,Saint-Aignan-Grandlieu,44860,,3,
13a,rebâtir Maine,,Allonnes,72700,,3,
14W,RECYCLAVIE,,Soullans,85300,,3,
16d,Ressourcerie AOD (Amicale de l'Obsolescence Deprogrammee),Plateforme de reemploi PEMB (enquete CERC-NA),Blanquefort-sur-Briolance,47500,,3,
166,REVAL 23,Plateforme de reemploi PEMB (enquete CERC-NA),Sainte-Feyre,23000,,3,
12z,Société Protectrice des Végétaux,,Oullins-Pierre-Bénite,69600,,3,
172,Sumar.F Faconnages,Acteur Envirobat Centre-Val de Loire,Saint-Jean-le-Blanc,45650,,3,
16z,Venus Architecture,Acteur Envirobat Centre-Val de Loire,Orleans,45000,,3,
