id,name,structure,city,postal,web,priority,logo_url
wg,Origines,Société,Marcellus,47200,https://www.origines.fr/,1,
tS,Orsettig,Société,Aiguillon,47190,http://orsettig.free.fr/,1,
tU,Parlons Pierre,Société,Dourgne,81110,https://www.tailleur-pierre-tarn.com/mat%C3%A9riaux-anciens-1/,1,
tV,Parquets Briatte,Société,Le Thillay,95500,https://www.parquetsbriatte.fr/,1,
tX,Pascal Stephan Matériaux Anciens,Société,Ménétreux-le-Pitois,21150,http://www.pascal-stephan.fr/,1,
ta,Pavés Cossutta,Société,Gandelu,02810,http://paves-cossutta.fr/,1,
tj,Pepe Matériaux,Société,Torpes,25320,https://opalis.eu/fr/revendeurs/pepe-materiaux,1,
tm,Petti Matériaux Anciens,Société,Roquebrune-sur-Argens,83520,https://opalis.eu/fr/revendeurs/petti-materiaux-anciens,1,
tq,Pimp your waste,Société,Antony,92160,https://www.pimpyourwaste.com/,1,
10r,PLANETE REEMPLOI,Société,Champagné-les-Marais,85450,https://www.planete-reemploi.fr/,1,
wv,Polyexpert Environnement - Aquitaine,Société,Pessac,33600,www.polyexpert-environnement.fr,1,
wy,Polyexpert Environnement - Atlantique,Société,La Chapelle-sur-Erdre,44240,www.polyexpert-environnement.fr,1,
x2,Polyexpert Environnement - Est,Société,Oberhausbergen,67205,www.polyexpert-environnement.fr,1,
ww,Polyexpert Environnement - IdF,Société,Le Kremlin-Bicêtre,94270,www.polyexpert-environnement.fr,1,
wx,Polyexpert Environnement - Nord,Société,Villeneuve-d'Ascq,59491,www.polyexpert-environnement.fr,1,
wz,Polyexpert Environnement - Occitanie,Société,Montpellier,34006,www.polyexpert-environnement.fr,1,
x3,Polyexpert Environnement - Occitanie,Société,Toulouse,31500,www.polyexpert-environnement.fr,1,
x1,Polyexpert Environnement - RAA,Société,Villeurbanne,69100,www.polyexpert-environnement.fr,1,
x0,Polyexpert Environnement - Sud-Est,Société,Aix-en-Provence,13097,www.polyexpert-environnement.fr,1,
ts,Portes Anciennes Philippe Varnier,Société,Peyrolles-en-Provence,13860,http://www.porte-ancienne.com/,1,
tt,Portes Antiques et Rééditions,Société,Beaumettes,84220,https://www.portesantiques.com/,1,
tu,Possibles Architectures,Société,Grenoble,38000,https://mdonzearchi.wixsite.com/accueil/portfolio,1,
zw,PROTECH IDF REEMPLOI,Société,Saint-Maur-des-Fossés,94100,http://protech-reemploi.com/,1,
u0,Provence Portes Anciennes,Société,Vaison-la-Romaine,84110,http://www.provence-portes.com/,1,
u2,Provence Vieux Matériaux,Société,Cavaillon,84300,https://www.brachet-anciensmateriaux.fr/,1,
u3,Quercy Perigord Matériaux Anciens,Société,Anglars-Nozac,46300,http://www.materiauxanciensquercyperigord.com/,1,
yR,Raivalor,Association,Niort,79000,https://www.raivalor.com/,1,
uE,RCB Carrelages,Société,Grimaud,83310,https://www.rcbcarrelages.fr/,1,
uF,Re-Store,Association,Saint-Denis,93200,https://restore.woma.fr/,1,
xf,Recovering,Société,Boulogne-Billancourt,92100,https://recovering.fr/,1,
uN,Recycle-Avenir,Société,Marseille,13001,https://www.recycle-avenir.com/,1,
12H,Recycle-Avenir,Société,Marseille,13001,https://www.recycle-avenir.com/,1,
